"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202208","2호선","신당","18","0","5746","1188","10743","8016","26628","16735","43549","31151","26115","21560","18115","17802","17667","18458","20598","19763","20699","20613","20491","19687","20988","21724","25140","26041","28879","33648","31555","48375","21402","30685","15941","18834","14423","17119","11825","16217","5747","10190","917","3361","0","31","0","0","0","0","20220903"
"202208","2호선","신대방","224","5","24633","2012","35615","9249","85469","17269","125979","26768","75335","19613","41452","17834","33406","18002","33174","20649","31775","23320","27381","26045","26605","35134","29038","41992","31956","57524","33746","91366","21095","77904","15651","50693","12443","54336","9441","51931","4215","28539","720","7632","1","64","1","0","0","0","20220903"
"202208","2호선","신도림","3959","46","32447","4956","50831","19744","126331","39807","135571","105431","83426","58480","55643","56678","54916","55571","60909","57447","62340","60403","61814","58224","66013","65727","73989","77433","91990","105045","117712","170475","65065","116960","56662","66484","58575","68281","46647","65045","19455","47821","2382","18649","14","2496","0","5","0","0","20220903"
"202208","2호선","신림","255","17","38345","4005","71039","19111","184073","28242","274665","47532","165979","45700","88153","43195","72692","44221","79679","51299","74340","55909","67310","63144","67223","77722","73527","92724","78390","129717","82031","226349","55211","194814","44557","121434","42733","116433","37603","108356","20575","69090","3995","20003","5","152","0","0","0","0","20220903"
"202208","2호선","신설동","34","2","1257","273","1312","1518","4176","4680","7163","11724","4881","7861","4257","6441","5440","6382","6326","6352","7013","6976","6903","5782","7567","5320","8257","4818","9958","5240","11537","6659","4446","4718","3070","3067","3482","2651","1689","2645","626","1834","160","677","0","128","0","0","0","0","20220903"
"202208","2호선","신정네거리","43","0","8469","851","17838","2994","47631","4806","43274","11365","23359","8466","16500","7301","14559","8369","15252","9653","13382","11262","11450","11631","10858","15723","12288","19332","12192","27519","11669","45441","7004","35217","5082","18771","4175","17758","3185","15936","1214","10697","185","2773","2","182","0","0","0","0","20220903"
"202208","2호선","신촌","61","5","7035","2743","14316","14992","35765","34976","51893","74372","36180","85899","34485","57689","41702","54094","53157","58815","54782","67637","56003","58888","64713","55002","73234","59146","89433","78115","90098","107361","61535","69641","62145","39117","66275","34393","64962","31247","32415","21931","4995","6178","3","89","0","0","0","0","20220903"
"202208","2호선","아현","48","2","4586","963","10490","7105","27299","10881","37867","20717","22675","12504","15759","9927","14655","9643","16140","11139","15083","12062","13750","12726","15163","14236","20929","16507","20019","21600","19089","31943","11335","23316","8165","15273","6442","15369","4392","13767","1946","8447","322","2301","1","37","0","0","0","0","20220903"
"202208","2호선","양천구청","12","1","4626","944","11364","2167","30755","5077","29310","9604","16286","4864","10660","4621","9255","4958","9616","6126","8811","7196","7024","7496","7254","9321","7772","11562","8983","16907","8951","28085","4159","23099","2854","12894","2373","12327","2077","10535","743","7945","116","2398","0","13","0","0","0","0","20220903"
"202208","2호선","역삼","58","0","3914","7135","8565","37482","14694","143927","25260","359274","22829","299437","23714","124340","32318","66240","39231","55214","46511","60010","54439","48666","72191","44752","93056","41382","213788","48919","288832","56252","147121","34101","84310","20812","80762","16901","57218","15191","21441","9379","3527","2905","2","8","0","0","0","0","20220903"
